Month;Product;Organic;Type;Land;Cost per unit;Total_cost;Amount;Weight;Total_weight
2;Crunchyrolls;;cereals;Sweden;28;28;1;0,4;0,4
2;Sunflower seeds;yes;cereals;Sweden;26;26;1;0,4;0,4
2;Tortilla;;cereals;Sweden;20;20;1;0,38;0,38
2;Linseed;yes;cereals;Sweden;23;23;1;0,35;0,35
2;Wheat bran;;cereals;Sweden;15;15;1;0,35;0,35
2;Havrekli;;cereals;Sweden;15;15;1;0,3;0,3
2;Hard bread;yes;cereals;Sweden;16;16;1;0,25;0,25
2;A-fil;yes;dairy;Sweden;13;104;8;1;8
2;Milk;;dairy;Sweden;12;36;3;1;3
2;Cheese Chedar;;dairy;Sweden;71;142;2;0,5;1
2;Egg;yes;dairy;Sweden;26;52;2;0,32;0,64
2;Cream;yes;dairy;Sweden;11;22;2;0,25;0,5
2;Actimel;;dairy;Poland;20;20;1;0,4;0,4
2;Feta;yes;dairy;Greece;25;50;2;0,15;0,3
2;Cottage cheese;yes;dairy;Sweden;19;19;1;0,25;0,25
2;Butter Bregott;yes;dairy;Sweden;20;20;1;0,25;0,25
2;Manchego Cheese;;dairy;Spain;33;33;1;0,2;0,2
2;Creme Fraiche;yes;dairy;Sweden;12;12;1;0,2;0,2
2;Salmon;yes;fish;Norway;63;126;2;0,28;0,56
2;Salmon smoked;;fish;Norway;40;40;1;0,2;0,2
2;Mussels;;fish;Canada;62;62;1;0,2;0,2
2;Sausage;;meat;Sweden;28;28;1;0,8;0,8
2;Grounded beef;yes;meat;Sweden;45;45;1;0,5;0,5
2;Reindeer;yes;meat;Sweden;41;82;2;0,24;0,48
2;Pate;;meat;Sweden;11;22;2;0,2;0,4
2;Bacon;yes;meat;Sweden;18;36;2;0,12;0,24
2;Prosciutto;;meat;Italy;36;36;1;0,08;0,08
2;Glögg;;other;Sweden;25;25;1;0,75;0,75
2;Pepparkakor;;other;Sweden;38;38;1;0,6;0,6
2;Coffee beans;;other;Italy;78;78;1;0,5;0,5
2;Pizza;;other;Sweden;33;33;1;0,4;0,4
2;Pizza;;other;Germany;30;30;1;0,375;0,375
2;Clementin;;veg&fruit;Spain;18;54;3;1,5;4,5
2;Proviva Blåbär;;veg&fruit;Sweden;20;40;2;1;2
2;Apple;yes;veg&fruit;Italy;20;60;3;0,5;1,5
2;Apple;;veg&fruit;Italy;28;28;1;1,4;1,4
2;Onion;yes;veg&fruit;Sweden;18;18;1;1;1
2;Oranges;;veg&fruit;Italy;13;13;1;1;1
2;Zucchini;;veg&fruit;Spain;12;24;2;0,3;0,6
2;Olive Oil;yes;veg&fruit;Spain;40;40;1;0,5;0,5
2;Wok vegetables;;veg&fruit;Sweden / Global;22;22;1;0,5;0,5
2;Broccoli;yes;veg&fruit;Sweden;18;18;1;0,425;0,425
2;Tomato conserve;yes;veg&fruit;Italy;16;16;1;0,4;0,4
2;Black Eyed Peas;;veg&fruit;Italy;11;11;1;0,4;0,4
2;Chunky Salsa;;veg&fruit;Sweden;24;24;1;0,35;0,35
2;Tomato cherry;;veg&fruit;Morocco;12;12;1;0,25;0,25
2;Kale;yes;veg&fruit;Sweden;15;15;1;0,25;0,25
2;Garlic;yes;veg&fruit;Spain;17;17;1;0,2;0,2
2;Hazelnuts;;veg&fruit;Sweden;26;26;1;0,2;0,2
2;Tomatpure;yes;veg&fruit;Italy;15;15;1;0,2;0,2
2;Lemon;;veg&fruit;Spain;2;2;1;0,1;0,1
2;Lettuce;;veg&fruit;Sweden;22;22;1;0,1;0,1
2;Ginge;;veg&fruit;China;6;6;1;0,1;0,1
2;Rucula;yes;veg&fruit;Sweden;17;17;1;0,065;0,065
3;Lasagne plates;;cereals;Sweden;13;13;1;0,2;0,2
3;Ciabatta;;cereals;Sweden;8;8;1;0,2;0,2
3;Hard bread;yes;cereals;Sweden;16;16;1;0,25;0,25
3;Linfrö;;cereals;Sweden;14;14;1;0,35;0,35
3;Tortilla;;cereals;Sweden;20;20;1;0,38;0,38
3;Pita;;cereals;Holland;19;19;1;0,4;0,4
3;Sunflower seeds;yes;cereals;Sweden;26;26;1;0,4;0,4
3;Hamb. Bread;;cereals;Sweden;30;30;1;0,4;0,4
3;Ströbröd;yes;cereals;Sweden;16;16;1;0,5;0,5
3;Brown Rice;;cereals;Spain;23;23;1;0,6;0,6
3;Spaghetti;;cereals;Italy;23;23;1;0,8;0,8
3;Sourdough Bread;yes;cereals;Sweden;45;45;1;0,8;0,8
3;Oats;yes;cereals;Sweden;23;23;1;1;1
3;Cous cous;yes;cereals;Italy;30;30;1;1;1
3;Rice arborio;;cereals;Italy;30;60;2;1;2
3;Potato;yes;cereals;Sweden;30;60;2;2;4
3;Bread;;cereals;Sweden;25;225;9;0,6;5,4
3;Feta;;dairy;Greece;27;27;1;0,15;0,15
3;Ricotta;;dairy;Italy;19;38;2;0,15;0,3
3;Creme Fraiche;yes;dairy;Sweden;12;24;2;0,2;0,4
3;Feta;yes;dairy;Greece;25;75;3;0,15;0,45
3;Cheese Chedar;;dairy;Sweden;62;62;1;0,5;0,5
3;Butter bregott;yes;dairy;Sweden;35;35;1;0,6;0,6
3;Cream;yes;dairy;Sweden;11;44;4;0,25;1
3;Egg;yes;dairy;Sweden;26;104;4;0,32;1,28
3;Milk;;dairy;Sweden;12;84;7;1;7
3;A-fil;yes;dairy;Sweden;14;252;18;1;18
3;Salmon;yes;fish;Norway;63;63;1;0,28;0,28
3;Cod;yes;fish;Norway;30;30;1;0,4;0,4
3;Sardins;;fish;Portugal;16;64;4;0,1;0,4
3;Salmon smoked;;fish;Norway;54;108;2;0,2;0,4
3;Mussels;;fish;Canada;62;186;3;0,2;0,6
3;Salmon;;fish;Norway;69;159;2;0,6;1,5
3;Prosciutto;;meat;Italy;36;36;1;0,08;0,08
3;Pate;;meat;Sweden;12;12;1;0,15;0,15
3;Bacon;yes;meat;Sweden;18;36;2;0,12;0,24
3;Pate;;meat;Sweden;15;30;2;0,2;0,4
3;Reindeer;yes;meat;Sweden;41;82;2;0,24;0,48
3;Lamb;;meat;New Zeeland;33;66;2;0,25;0,5
3;Grounded beef;yes;meat;Sweden;45;90;2;0,5;1
